悪戦苦闘,あくせんくとう
悪口雑言,あっこうぞうごん
安全地帯,あんぜんちたい
暗中模索,あんちゅうもさく
意気消沈,いきしょうちん
意気投合,いきとうごう
意気揚揚,いきようよう
異口同音,いくどうおん
以心伝心,いしんでんしん
一意専心,いちいせんしん
一衣帯水,いちいたいすい
一言居士,いちげんこじ
一期一会,いちごいちえ
一言一句,いちごんいっく
一言半句,いちごんはんく
一字千金,いちじせんきん
一日千秋,いちじつ
一念発起,いちねんほっき
一部始終,いちぶしじゅう
一望千里,いちぼうせんり
一網打尽,いちもうだじん
一目瞭然,いちもくりょうぜん
一問一答,いちもんいっとう
一利一害,いちりいちがい
一攫千金,いっかくせんきん
一喜一憂,いっきいちゆう
一騎当千,いっきとうせん
一挙一動,いっきょいちどう
一挙両得,いっきょりょうとく
一刻千金,いっこくせんきん
一切合切,いっさいがっさい
一触即発,いっしょくそくはつ
一所懸命,いっしょけんめい
一進一退,いっしんいったい
一心同体,いっしんどうたい
一心不乱,いっしんふらん
一世一代,いっせいいちだい
一石二鳥 ,いっせきにちょう
一体全体,いったいぜんたい
一知半解,いっちはんかい
一朝一夕,いっちょういっせき
一長一短,いっちょういったん
一刀両断,いっとうりょうだん
一得一失,いっとくいっしつ
一方通行,いっぽうつうこう
一本調子,いっぽんじょうし
威風堂々,いふうどうどう
意味深長,いみしんちょう
因果応報,いんがおうほう
右往左往,うおうさおう
有象無象,うぞうむぞう
海千山千,うみせんやません
紆余曲折,うよきょくせつ
永遠不変,えいきゅうふへん
永久不変,えいきゅうふへん
栄枯盛衰,えいこせいすい
得手勝手,えてかって
面白半分,おもしろはんぶん
温故知新,おんこちしん
温室効果,おんしつこうか
臥薪嘗胆,がしんしょうたん
我田引水,がでんいんすい
花鳥風月,かようふうげつ
画竜点睛,がりょうてんせい
夏炉冬扇,かろとうせん
感慨無量,かんがいむりょう
緩急自在,かんきゅうじざい
勧善懲悪,かんぜんちょうあく
完全無欠,かんぜんむけつ
危機一髪,ききいっぱつ
起死回生,きしかいせい
起承転結,きしょうてんけつ
喜色満面,きしょくまんめん
疑心暗鬼,ぎしんあんき
奇想天外,きそうてんがい
喜怒哀楽,きどあいらく
牛飲馬食,ぎゅういんばしょく
急転直下,きゅうてんちょっか
共存共栄,きょうぞんきょうえい
興味津津,きょうみしんしん
明鏡止水,きょうめいしすい
玉石混交,ぎょくせきこんこう
金科玉条,きんかぎょくじょう
空前絶後,くうぜんぜつご
苦心惨憺,くしんさんたん
言行一致,げんこういっち
捲土重来,けんどちょうらい
厚顔無恥,こうがんむち
巧言令色,こうげんれいしょく
広大無辺,こうだいむへん
公平無私,こうへいむし
公明正大,こうめいせいだい
呉越同舟,ごえつどうしゅう
孤軍奮闘,こぐんふんとう
古今東西,ここんとうざい
故事成語,こじせいご
虎視眈眈,こしたんたん
後生大事,ごしょうだいじ
五臓六腑,ごぞうろっぷ
小春日和,こはるびより
五風十雨,ごふうじゅうう
五分五分,ごぶごぶ
孤立無援,こりつむえん
五里霧中,ごりむちゅう
言語道断,ごんごどうだん
再三再四,さいさんさいし
才色兼備,さいしょくけんび
三寒四温,さんかんしおん
三三五五,さんさんごご
山川草木,さんせんそうもく
三拝九拝,さんぱいきゅうはい
四角四面,しかくしめん
自画自賛,じがじさん
自給自足,じきゅうじそく
四苦八苦,しくはっく
試行錯誤,しこうさくご
自業自得,じごうじとく
四捨五入,ししゃごにゅう
七転八起,しちてんはっき
七転八倒,しちてんばっとう
質疑応答,しつぎおうとう
質実剛健,しつじつごうけん
自分自身,じぶんじしん
四方八方,しほうはっぽう
四面楚歌,しめんそか
自問自答,じもんじとう
弱肉強食,じゃくにくきょうしょく
縦横無尽,じゅうおうむじん
終始一貫,しゅうしいっかん
自由自在,じゆうじざい
十人十色,じゅうにんといろ
主客転倒,しゅきゃくてんとう
取捨選択,しゅしゃせんたく
十中八九,じゅっちゅうはっく
春夏秋冬,しゅんかしゅうとう
順風満帆,じゅんぷうまんぱん
盛者必衰,じょうしゃひっすい
正真正銘,しょうしんしょうめい
枝葉末節,しようまっせつ
四六時中,しりくじちゅう
支離滅裂,しりめつれつ
心機一転,しんきいってん
神出鬼没,しんしゅつきぼつ
針小棒大,しんしょうぼうだい
深謀遠慮,しんぼうえんりょ
森羅万象,しんらばんしょう
晴耕雨読,せいこううどく
誠心誠意,せいしんせいい
正正堂堂,せいせいどうどう
切磋琢磨,せっさたくま
絶体絶命,ぜったいぜつめい
青天白日,せてんはくじつ
千客万来,せんきゃくばんらい
前後不覚,ぜんごふかく
千載一遇,せんざいいちぐう
千差万別,せんさばんべつ
前人未到,ぜんじんみとう
前代未聞,ぜんだいみもん
前途洋々,ぜんとようよう
千変万化,せんぺんばんか
創意工夫,そういくふう
第一人者,だいいちにんしゃ
大願成就,たいがんじょうじゅ
大器小用,たいきしょうよう
大器晩成,たいきばんせい
大義名分,たいぎめいぶん
大言壮語,たいげんそうご
泰然自若,たいぜんじじゃく
大胆不敵,だいたんふてき
大同小異,だいどうしょうい
多事多難,たじたなん
多種多様,たしゅたよう
単刀直入,たんとうちょくにゅう
中肉中背,ちゅうにくちゅうぜい
昼夜兼行,ちゅうやけんこう
朝三暮四,ちょうさんぼし
朝令暮改,ちょうれいぼかい
猪突猛進,ちょとつもうしん
沈思黙考,ちんしもっこう
津津浦浦,つつうらうら
適材適所,てきざいてきしょ
徹頭徹尾,てっとうてつび
手前勝手,てまえかって
天衣無縫,てんいむほう
天下無双,てんかむそう
電光石火,でんこうせっか
天真爛漫,てんしんらんまん
天地無用,てんちむよう
天変地異,てんぺんちい
同工異曲,どうこういきょく
同床異夢,どうしょういむ
東奔西走,とうほんせいそう
得意満面,とくいまんめん
独断専行,どくだんせんこう
独立独歩,どくりつどっぽ
内憂外患,ないゆうがいかん
難行苦行,なんぎょうくぎょう
南船北馬,なんせんほくば
二者択一,にしゃたくいつ
二束三文,にそくさんもん
日進月歩,にっしんげっぽ
二度手間,にどでま
二百十日,にひゃくとおか
年功序列,ねんこうじょれつ
年中行事,ねんちゅうぎょうじ
破顔一笑,はがんいっしょう
白砂青松,はくしゃせいしょう
馬耳東風,ばじとうふう
傍目八目,はためはちもく
八方美人,はっぽうびじん
早口言葉,はやくちことば
波瀾万丈,はらんばんじょう
半死半生,はんしはんしょう
半信半疑,はんしんはんぎ
反面教師,はんめんきょうし
百戦錬磨,ひゃくせんれんま
百花繚乱,ひゃっかりょうらん
百発百中,ひゃっぱつひゃくちゅう
表裏一体,ひょうりいったい
疲労困憊,ひろうこんぱい
品行方正,ひんこうほうせい
風光明媚,ふうこうめいび
不可思議,ふかしぎ
不言実行,ふげんじっこう
不承不承,ふしょうぶしょう
不即不離,ふそくふり
不眠不休,ふみんふきゅう
不老不死,ふろうふし
付和雷同,ふわらいどう
粉骨砕身,ふんこつさいしん
文武両道,ぶんぶりょうどう
平穏無事,へいおんぶじ
平身低頭,へいしんていとう
変幻自在,へんげんじざい
暴飲暴食,ぼういんぼうしょく
傍若無人,ぼうじゃくぶじん
抱腹絶倒,ほうふくぜっとう
本末転倒,ほんまつてんとう
真一文字,まいちもんじ
満場一致,まんじょういっち
満身創痍,まんしんそうい
三日天下,みっかてんか
無為無策,むいむさく
無我夢中,むがむちゅう
雲散霧消,むさんむしょう
武者修行,むしゃしゅぎょう
無病息災,むびょうそくさい
無味乾燥,むみかんそう
無理難題,むりなんだい
明々白々,めいめいはくはく
名誉挽回,めいよばんかい
面目躍如,めんもくやくじょ
門外不出,もんがいふしゅつ
唯我独尊,ゆいがどくそん
優柔不断,ゆうじゅうふだん
優勝劣敗,ゆうしょうれっぱい
有名無実,ゆうめいむじつ
勇猛果敢,ゆうもうかかん
悠々自適,ゆうゆうじてき
油断大敵,ゆだんたいてき
用意周到,よういしゅうとう
羊頭狗肉,ようとうくにく
利害得失,りがいとくしつ
離合集散,りごうしゅうさん
立身出世,りっしんしゅっせ
流言飛語,りゅうげんひご
竜頭蛇尾,りゅうとうだび
粒々辛苦,りゅうりゅうしんく
理路整然,りろせいぜん
臨機応変,りんきおうへん
老若男女,りんきおうへん
和気藹々,わきあいあい
